month,topic,keywords,category,priority
1,ISO 13485 explicado: O que é e por que importa,"iso 13485,certificação médica,dispositivos médicos",educacional,high
1,Como escolher fornecedor de implantes ortopédicos no Brasil,"fornecedor implantes,ortopedia brasil,escolher fabricante",educacional,high
1,ZEISS CMM: Precisão micrométrica em metrologia médica,"zeiss cmm,metrologia médica,precisão micrométrica",produto,high
1,Comparativo: Importação vs Fabricação Local de Dispositivos Médicos,"fabricação local,importação dispositivos,made in brazil",mercado,medium
2,Tolerâncias micrométricas em dispositivos médicos: Guia completo,"tolerâncias micrométricas,precisão médica,especificações técnicas",educacional,high
2,Guia DFM: Design for Manufacturing para implantes médicos,"dfm médico,design for manufacturing,otimização implantes",educacional,high
2,Sala limpa ISO 7: Padrões e requisitos para dispositivos médicos,"sala limpa iso 7,cleanroom médico,controle contaminação",produto,high
2,Citizen L32: Usinagem CNC de alta precisão para implantes,"citizen l32,cnc médico,usinagem precisão",produto,medium
3,Materiais para implantes: Titânio Ti-6Al-4V vs Aço Inoxidável 316L,"titânio ti6al4v,aço 316l,materiais implantes",educacional,high
3,Processo de validação de implantes médicos segundo ISO 13485,"validação implantes,iso 13485,processo validação",educacional,high
3,Usinagem Swiss Turning: Vantagens para componentes médicos miniaturizados,"swiss turning,usinagem suíça,componentes miniaturizados",produto,medium
3,Tarifas Trump: Impacto na fabricação de dispositivos médicos no Brasil,"tarifas importação,dispositivos médicos brasil,trump tariffs",mercado,high
4,Inspeção 100% CMM: Por que é essencial em dispositivos médicos,"inspeção cmm,controle qualidade,metrologia tridimensional",produto,high
4,ANVISA: Guia de certificação para fabricantes de dispositivos médicos,"anvisa certificação,registro dispositivos,regulamentação brasil",educacional,high
4,Acabamento superficial em implantes: Ra rugosidade e biocompatibilidade,"acabamento superficial,rugosidade implantes,ra médico",educacional,medium
4,Case Study: Redução de 40% no custo com fabricação local,"case implantes,fabricação local,redução custos",prova-social,high
5,Implantes dentários: Especificações técnicas e processos de fabricação,"implantes dentários,especificações técnicas,fabricação dental",produto,high
5,Tratamento térmico de componentes médicos em Titânio,"tratamento térmico,titânio médico,propriedades mecânicas",educacional,medium
5,Instrumentos cirúrgicos: Requisitos de precisão e durabilidade,"instrumentos cirúrgicos,precisão cirúrgica,durabilidade médica",produto,medium
5,Mercado brasileiro de dispositivos médicos: Tendências 2025,"mercado médico brasil,tendências 2025,indústria dispositivos",mercado,high
6,Implantes veterinários: Adaptações e especificidades técnicas,"implantes veterinários,dispositivos veterinários,ortopedia animal",produto,medium
6,30 anos de excelência: História da Lifetrek Medical,"lifetrek medical,30 anos,história fabricação",prova-social,high
6,Prototipagem rápida de dispositivos médicos: Do CAD ao produto final,"prototipagem rápida,cad médico,desenvolvimento produto",educacional,medium
6,Checklist completo: Como qualificar um novo fornecedor médico,"qualificação fornecedor,auditoria médica,seleção fabricante",educacional,high
